iter	Passed	Remaining
0	4	430
1	5	287
2	7	239
3	8	206
4	10	191
5	11	184
6	13	180
7	16	184
8	17	178
9	19	178
10	21	172
11	23	168
12	24	165
13	26	162
14	30	175
15	32	169
16	33	164
17	35	160
18	36	156
19	38	154
20	39	150
21	41	146
22	45	153
23	47	149
24	48	146
25	50	143
26	52	141
27	53	138
28	56	138
29	62	145
30	65	144
31	66	141
32	67	137
33	69	134
34	71	131
35	72	128
36	75	129
37	77	125
38	78	123
39	80	120
40	81	117
41	82	113
42	83	111
43	85	108
44	90	110
45	92	108
46	94	106
47	97	105
48	99	103
49	101	101
50	103	99
51	105	97
52	106	94
53	108	92
54	109	89
55	111	87
56	112	85
57	117	85
58	119	82
59	120	80
60	122	78
61	123	75
62	125	73
63	127	71
64	129	69
65	131	67
66	132	65
67	134	63
68	136	61
69	137	58
70	139	56
71	140	54
72	143	53
73	146	51
74	147	49
75	149	47
76	150	44
77	152	42
78	153	40
79	155	38
80	157	37
81	160	35
82	161	33
83	163	31
84	164	29
85	166	27
86	167	25
87	169	23
88	171	21
89	175	19
90	176	17
91	178	15
92	179	13
93	181	11
94	182	9
95	184	7
96	186	5
97	188	3
98	189	1
99	191	0
