iter	Passed	Remaining
0	140	140451
1	142	70883
2	143	47646
3	144	35953
4	145	28935
5	146	24251
6	147	20877
7	147	18351
8	148	16402
9	149	14825
10	150	13534
11	151	12462
12	152	11557
13	153	10778
14	153	10104
15	154	9525
16	155	9013
17	156	8562
18	157	8149
19	158	7774
20	159	7435
21	160	7126
22	161	6847
23	161	6587
24	163	6364
25	164	6149
26	164	5944
27	165	5754
28	166	5580
29	167	5416
30	168	5264
31	169	5128
32	171	5013
33	172	4895
34	173	4778
35	174	4664
36	175	4559
37	176	4460
38	177	4366
39	178	4276
40	179	4190
41	180	4108
42	181	4029
43	182	3954
44	183	3885
45	184	3822
46	185	3759
47	186	3698
48	187	3638
49	188	3578
50	189	3522
51	190	3467
52	191	3416
53	192	3366
54	193	3320
55	194	3277
56	195	3233
57	196	3188
58	197	3147
59	198	3115
60	200	3080
61	201	3044
62	202	3008
63	203	2972
64	204	2938
65	205	2905
66	206	2871
67	207	2838
68	208	2806
69	209	2778
70	210	2751
71	211	2722
72	212	2696
73	216	2703
74	217	2677
75	218	2652
76	219	2628
77	220	2604
78	221	2583
79	222	2563
80	224	2543
81	225	2523
82	225	2495
83	227	2485
84	229	2467
85	230	2451
86	232	2435
87	233	2418
88	234	2401
89	235	2382
90	236	2365
91	238	2349
92	239	2332
93	240	2315
94	242	2308
95	244	2304
96	246	2290
97	247	2274
98	248	2258
99	249	2247
100	251	2237
101	252	2223
102	253	2210
103	255	2201
104	261	2226
105	262	2213
106	263	2203
107	265	2192
108	266	2181
109	268	2171
110	270	2163
111	273	2171
112	276	2173
113	278	2164
114	279	2151
115	280	2138
116	282	2135
117	284	2122
118	285	2112
119	287	2111
120	292	2122
121	294	2120
122	296	2111
123	298	2107
124	299	2099
125	302	2101
126	306	2106
127	309	2110
128	312	2111
129	321	2149
130	324	2153
131	326	2145
132	328	2140
133	330	2135
134	333	2136
135	336	2134
136	338	2130
137	339	2119
138	340	2108
139	341	2098
140	343	2089
141	343	2076
142	344	2066
143	346	2060
144	348	2052
